section_id,roadbed,begin_marker,begin_disp,district,county,pavtype,begin_dfo,end_dfo,n_years,lon,lat
BS0078EK|238|1.5,BS0078EK,238,1.5,18 - DALLAS,43 - COLLIN,J - JOINTED CONCRETE PAVEMENT (JCP),1.539,1.982,26,-96.360478,33.164985
BS0078EK|240|0.0,BS0078EK,240,0.0,18 - DALLAS,43 - COLLIN,J - JOINTED CONCRETE PAVEMENT (JCP),1.982,2.482,23,-96.365893,33.163506
BS0121HL|270|0.0,BS0121HL,270,0.0,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),1.098,1.498,19,-96.938718,33.048466
BS0121HL|270|0.4,BS0121HL,270,0.4,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),1.498,1.998,12,-96.945865,33.047602
BS0121HL|270|0.9,BS0121HL,270,0.9,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),1.998,2.498,12,-96.954361,33.046529
BS0121HL|270|1.4,BS0121HL,270,1.4,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),2.498,3.08,12,-96.963589,33.045432
BS0121HL|272|0.0,BS0121HL,272,0.0,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),3.08,3.58,19,-96.973885,33.044227
BS0121HL|272|0.5,BS0121HL,272,0.5,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),3.58,4.08,19,-96.98193,33.042329
BS0121HL|272|1.0,BS0121HL,272,1.0,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),4.08,4.58,19,-96.988143,33.037807
BS0121HL|272|1.5,BS0121HL,272,1.5,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),4.58,5.157,16,-96.992443,33.03096
BS0121HL|274|0.0,BS0121HL,274,0.0,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),5.157,5.657,19,-96.992847,33.022853
BS0121HL|274|0.5,BS0121HL,274,0.5,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),5.657,6.157,19,-96.992908,33.016351
BS0121HL|274|1.0,BS0121HL,274,1.0,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),6.157,6.657,19,-96.992962,33.009092
BS0121HL|274|1.5,BS0121HL,274,1.5,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),6.657,7.178,19,-96.994659,33.000941
BS0121HL|276|0.0,BS0121HL,276,0.0,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),7.178,7.678,19,-97.000789,32.996471
BS0121HL|276|0.5,BS0121HL,276,0.5,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),7.678,8.278,17,-97.007431,32.991136
BS0121HR|270|0.0,BS0121HR,270,0.0,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),1.103,1.503,19,-96.938359,33.04866
BS0121HR|270|0.4,BS0121HR,270,0.4,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),1.503,2.003,12,-96.946099,33.047728
BS0121HR|270|0.9,BS0121HR,270,0.9,18 - DALLAS,61 - DENTON,J - JOINTED CONCRETE PAVEMENT (JCP),2.003,2.503,12,-96.954958,33.046634
